tour,family,combo,r2_r3,r2_r4,delta_r2_bpw,aic_r3,aic_r4,delta_aic_bpw
ATP (men),Linear,additive,0.9242280270783001,0.9332233315165667,0.008995304438266571,1062.0235401574973,998.6878054876397,-63.33573466985763
ATP (men),Linear,interaction,0.9242812483437263,0.9338193266876796,0.009538078343953371,1063.66027837452,996.0527614478965,-67.60751692662348
ATP (men),Polynomial (deg 3),additive,0.9247321000341091,0.9500045639597887,0.02527246392567961,1066.572707199134,861.0566194591759,-205.51608773995804
ATP (men),Polynomial (deg 3),interaction,0.9250327156147224,0.9500668383034407,0.025034122688718297,1066.5037050106846,862.4122425627686,-204.091462447916
ATP (men),GAM,additive,0.927055626475154,0.9533025026782692,0.026246876203115166,1083.164178555721,872.1166213469386,-211.04755720878245
ATP (men),GAM,interaction,0.9279234805791878,0.9523569289397451,0.024433448360557275,1060.0435742885286,862.8693979498611,-197.1741763386675
ATP (men),Sigmoid,additive,0.9265494866131986,0.9465941333955432,0.020044646782344633,1051.9362674208135,889.1728700946676,-162.76339732614588
ATP (men),Sigmoid,interaction,0.9269005957155808,0.9466189262420832,0.019718330526502403,1051.4589715460284,890.932805123277,-160.52616642275132
WTA (women),Linear,additive,0.9540271278683702,0.9540902326382641,6.31047698939069e-05,456.3571269512606,457.98625622651406,1.6291292752534332
WTA (women),Linear,interaction,0.9547043344977074,0.9552843055417298,0.0005799710440224093,454.3502884431881,452.87085320194774,-1.4794352412403668
WTA (women),Polynomial (deg 3),additive,0.9543744266346486,0.9605460534352759,0.006171626800627328,462.3096879203637,429.0694277887433,-33.240260131620346
WTA (women),Polynomial (deg 3),interaction,0.9549486381272618,0.9605862195659175,0.00563758143865567,460.8900934004357,430.79441399987104,-30.095679400564677
WTA (women),GAM,additive,0.9582352957593685,0.9657530685541916,0.00751777279482313,467.7350549506104,429.71844214917866,-38.016612801431734
WTA (women),GAM,interaction,0.959662185698,0.9642996525196248,0.004637466821624803,442.7966463997493,423.0320138300069,-19.76463256974239
WTA (women),Sigmoid,additive,0.9573444700341456,0.9604335874448016,0.0030891174106559838,442.13559534576336,423.8379851142175,-18.29761023154589
WTA (women),Sigmoid,interaction,0.95754380617713,0.9604459027416802,0.002902096564550205,442.87088457229197,425.75393282001664,-17.116951752275327
