tour,family,combo,r2_pw_bpw,r2_spw_rpw_bpw,aic_pw_bpw,aic_spw_rpw_bpw,better_fit_by_aic
ATP (men),Linear,additive,0.9416850487663123,0.9332233315165667,926.6367708299829,998.6878054876397,R2-style (pw+bpw)
ATP (men),Linear,interaction,0.9480666466730794,0.9338193266876796,868.7178749338331,996.0527614478965,R2-style (pw+bpw)
ATP (men),Polynomial (deg 3),additive,0.9495812945122983,0.9500045639597887,859.4152007727644,861.0566194591759,R2-style (pw+bpw)
ATP (men),Polynomial (deg 3),interaction,0.94972797389538,0.9500668383034407,859.9089391040858,862.4122425627686,R2-style (pw+bpw)
ATP (men),GAM,additive,0.9537726965735939,0.9533025026782692,843.1536801417965,872.1166213469386,R2-style (pw+bpw)
ATP (men),GAM,interaction,0.9504936732669007,0.9523569289397451,855.3625954380846,862.8693979498611,R2-style (pw+bpw)
ATP (men),Sigmoid,additive,0.9495529707190147,0.9465941333955432,857.7055551046124,889.1728700946676,R2-style (pw+bpw)
ATP (men),Sigmoid,interaction,0.9495774843440469,0.9466189262420832,859.4542692601271,890.932805123277,R2-style (pw+bpw)
WTA (women),Linear,additive,0.9558105346904352,0.9540902326382641,445.6745588628587,457.98625622651406,R2-style (pw+bpw)
WTA (women),Linear,interaction,0.9604766922300142,0.9552843055417298,417.54367902457864,452.87085320194774,R2-style (pw+bpw)
WTA (women),Polynomial (deg 3),additive,0.9620144359503578,0.9605460534352759,412.8288980736712,429.0694277887433,R2-style (pw+bpw)
WTA (women),Polynomial (deg 3),interaction,0.9620718585068486,0.9605862195659175,414.42043182640697,430.79441399987104,R2-style (pw+bpw)
WTA (women),GAM,additive,0.964556842302522,0.9657530685541916,416.3599455065342,429.71844214917866,R2-style (pw+bpw)
WTA (women),GAM,interaction,0.9623600851787851,0.9642996525196248,413.50655156983566,423.0320138300069,R2-style (pw+bpw)
WTA (women),Sigmoid,additive,0.9618291395080892,0.9604335874448016,412.1427764086866,423.8379851142175,R2-style (pw+bpw)
WTA (women),Sigmoid,interaction,0.961913506615379,0.9604459027416802,413.54534869570705,425.75393282001664,R2-style (pw+bpw)
