tour,family,combo,in_sample_r2_r3,in_sample_r2_r4,cv_r2_r3,cv_r2_r4,cv_delta_r2_bpw,overfit_gap_r4
ATP (men),Linear,additive,0.9242280270783001,0.9332233315165667,0.9236816726183871,0.9315920255799184,0.007910352961531308,0.0016313059366482863
ATP (men),Linear,interaction,0.9242812483437263,0.9338193266876796,0.9231262455378988,0.9319028144255177,0.008776568887618907,0.0019165122621619401
ATP (men),Polynomial (deg 3),additive,0.9247321000341091,0.9500045639597887,0.9215645652923655,0.9479026941586167,0.026338128866251198,0.002101869801171996
ATP (men),Polynomial (deg 3),interaction,0.9250327156147224,0.9500668383034407,0.9213742277640486,0.9479269278465846,0.026552700082535963,0.002139910456856131
ATP (men),GAM,additive,0.927055626475154,0.9533025026782692,0.917459183077347,0.9466007491051361,0.029141566027789167,0.0067017535731330735
ATP (men),GAM,interaction,0.9279234805791878,0.9523569289397451,0.9219561858190787,0.947501119755788,0.025544933936709313,0.004855809183957116
ATP (men),Sigmoid,additive,0.9265494866131986,0.9465941333955432,0.9256292607716123,0.9457243415802679,0.02009508080865552,0.0008697918152753559
ATP (men),Sigmoid,interaction,0.9269005957155808,0.9466189262420832,0.9254207820824184,0.945311977385554,0.019891195303135545,0.0013069488565292664
WTA (women),Linear,additive,0.9540271278683702,0.9540902326382641,0.9526777196777224,0.952541152448882,-0.00013656722884036743,0.001549080189382046
WTA (women),Linear,interaction,0.9547043344977074,0.9552843055417298,0.9526183277610395,0.9524407709558774,-0.00017755680516207129,0.002843534585852403
WTA (women),Polynomial (deg 3),additive,0.9543744266346486,0.9605460534352759,0.9507378766981187,0.9564902843591667,0.005752407661048009,0.004055769076109161
WTA (women),Polynomial (deg 3),interaction,0.9549486381272618,0.9605862195659175,0.9506983617188532,0.9560303704902922,0.005332008771438912,0.00455584907562534
WTA (women),GAM,additive,0.9582352957593685,0.9657530685541916,0.9485889560585155,0.9569454090689026,0.008356453010387122,0.008807659485289054
WTA (women),GAM,interaction,0.959662185698,0.9642996525196248,0.9550002555289954,0.9560956491843412,0.0010953936553458332,0.008204003335283594
WTA (women),Sigmoid,additive,0.9573444700341456,0.9604335874448016,0.9556757237185046,0.958338328767887,0.002662605049382427,0.002095258676914513
WTA (women),Sigmoid,interaction,0.95754380617713,0.9604459027416802,0.9549779331363363,0.9575999963134086,0.0026220631770723646,0.0028459064282715385
