tour,family,combo,cv_r2_pw_bpw,cv_r2_spw_rpw_bpw,better_fit_by_cv
ATP (men),Linear,additive,0.9403999378688087,0.9315920255799184,R2-style (pw+bpw)
ATP (men),Linear,interaction,0.9473697614097315,0.9319028144255177,R2-style (pw+bpw)
ATP (men),Polynomial (deg 3),additive,0.9485417768568813,0.9479026941586167,R2-style (pw+bpw)
ATP (men),Polynomial (deg 3),interaction,0.9486391426982062,0.9479269278465846,R2-style (pw+bpw)
ATP (men),GAM,additive,0.9499295060500205,0.9466007491051361,R2-style (pw+bpw)
ATP (men),GAM,interaction,0.9488409845279628,0.947501119755788,R2-style (pw+bpw)
ATP (men),Sigmoid,additive,0.9488153389484236,0.9457243415802679,R2-style (pw+bpw)
ATP (men),Sigmoid,interaction,0.9487031854565288,0.945311977385554,R2-style (pw+bpw)
WTA (women),Linear,additive,0.9548992394494915,0.952541152448882,R2-style (pw+bpw)
WTA (women),Linear,interaction,0.9590100239599272,0.9524407709558774,R2-style (pw+bpw)
WTA (women),Polynomial (deg 3),additive,0.9598463752110314,0.9564902843591667,R2-style (pw+bpw)
WTA (women),Polynomial (deg 3),interaction,0.9596716341238458,0.9560303704902922,R2-style (pw+bpw)
WTA (women),GAM,additive,0.9562788767578365,0.9569454090689026,R4-style (spw+rpw+bpw)
WTA (women),GAM,interaction,0.9603452141994527,0.9560956491843412,R2-style (pw+bpw)
WTA (women),Sigmoid,additive,0.9603550418450654,0.958338328767887,R2-style (pw+bpw)
WTA (women),Sigmoid,interaction,0.9603542476612112,0.9575999963134086,R2-style (pw+bpw)
